,City,Cloudiness,Humidity,Latitude,Temperature,Windspeed
0,Hilo,1,88,19.71,73.4,6.93
1,Nemuro,75,81,43.32,46.4,8.05
2,Srikakulam,0,92,18.29,85.61,10.76
3,New Norfolk,20,40,-42.78,69.8,17.22
4,Dikson,36,91,73.51,1.55,18.81
5,Hilo,1,88,19.71,73.4,6.93
6,Cherskiy,20,73,68.75,32.24,5.73
7,Ribeira Grande,20,58,38.52,57.2,18.34
8,Nouadhibou,0,88,20.93,62.6,17.22
9,Itoman,40,57,26.12,75.63,12.75
10,Punta Arenas,0,80,-53.16,41.0,11.41
11,Ostrovnoy,92,97,68.05,28.01,18.7
12,Chandigarh,76,59,30.72,79.22,9.19
13,Cape Town,0,77,-33.93,64.4,5.82
14,Codrington,92,89,-28.95,71.3,4.05
15,Ellisras,8,81,-23.67,67.25,6.17
16,Pisco,0,73,-13.71,69.8,9.17
17,Rikitea,20,100,-23.12,79.04,4.94
18,Albany,90,69,42.65,30.13,6.93
19,Hermanus,76,96,-34.42,62.3,5.95
20,Ushuaia,75,80,-54.81,41.0,16.11
21,Nouadhibou,0,88,20.93,62.6,17.22
22,Yerofey Pavlovich,48,28,53.97,17.12,9.75
23,Albany,90,69,42.65,30.13,6.93
24,New Norfolk,20,40,-42.78,69.8,17.22
25,Baruun-Urt,0,35,46.68,29.45,8.41
26,Vanimo,56,100,-2.67,83.54,15.46
27,Lluta,0,93,-16.02,48.2,4.7
28,Nuh,20,26,28.1,93.2,9.17
29,Torbay,90,74,47.66,28.4,8.05
30,Cabo San Lucas,0,98,22.89,68.96,14.23
31,Busselton,0,83,-33.64,75.44,9.42
32,Rikitea,20,100,-23.12,79.04,4.94
33,Izvoarele,0,82,45.55,44.12,7.4
34,Chokurdakh,8,88,70.62,23.51,15.68
35,Atuona,68,100,-9.8,81.38,16.35
36,Puerto Ayora,44,100,-0.74,75.26,6.06
37,Longyearbyen,75,55,78.22,10.4,18.34
38,Pechora,68,78,65.12,25.22,13.0
39,Vershino-Darasunskiy,32,25,52.35,26.3,10.98
40,Tasiilaq,44,79,65.61,19.4,17.22
41,Nong Bua,0,62,15.87,92.99,1.92
42,Vaini,0,39,15.34,91.64,3.27
43,Tiksi,36,85,71.64,13.97,7.07
44,Ushuaia,75,80,-54.81,41.0,16.11
45,Kaitangata,0,57,-46.28,60.68,28.1
46,Yellowknife,5,63,62.45,-7.61,8.05
47,Carnarvon,92,96,-30.97,58.34,6.62
48,Punta Arenas,0,80,-53.16,41.0,11.41
49,Hobart,20,40,-42.88,69.8,17.22
50,Hofn,0,100,64.25,24.95,18.59
51,Codrington,92,89,-28.95,71.3,4.05
52,Saskylakh,0,75,71.97,0.2,6.96
53,Ushuaia,75,80,-54.81,41.0,16.11
54,Baykit,44,78,61.68,19.19,6.4
55,Mataura,92,73,-46.19,59.15,27.98
56,Bluff,88,46,-23.58,84.44,16.02
57,Bambous Virieux,75,88,-20.34,80.6,8.05
58,Norman Wells,20,70,65.28,-0.41,5.82
59,Rikitea,20,100,-23.12,79.04,4.94
60,Kiunga,88,93,-6.12,77.69,4.38
61,Kapaa,40,83,22.08,71.47,8.05
62,Ilulissat,20,78,69.22,10.4,2.24
63,Ushuaia,75,80,-54.81,41.0,16.11
64,Puerto Ayora,44,100,-0.74,75.26,6.06
65,Punta Arenas,0,80,-53.16,41.0,11.41
66,Hermanus,76,96,-34.42,62.3,5.95
67,Sept-Iles,20,50,50.2,6.8,8.05
68,Mount Gambier,0,62,-37.83,68.6,4.38
69,Rikitea,20,100,-23.12,79.04,4.94
70,Egvekinot,0,94,66.32,29.09,2.48
71,Mount Gambier,0,62,-37.83,68.6,4.38
72,Rio Grande,56,100,-32.03,67.97,4.38
73,Panikian,92,100,13.29,76.61,3.49
74,Hamilton,75,86,43.26,34.32,4.7
75,Ayan,8,65,40.67,37.73,3.49
76,Busselton,0,83,-33.64,75.44,9.42
77,Mar del Plata,64,57,-46.43,65.54,17.25
78,Vaini,0,39,15.34,91.64,3.27
79,Freetown,48,100,26.61,72.92,13.78
80,Broken Hill,0,34,-31.97,77.69,14.56
81,Karla,90,86,59.37,30.2,17.22
82,Castro,92,100,-42.48,54.92,3.6
83,Oussouye,0,88,12.49,67.12,9.17
84,Buala,88,97,-8.15,82.01,4.72
85,Port-Gentil,40,100,-0.72,77.0,2.24
86,Rikitea,20,100,-23.12,79.04,4.94
87,Porto Novo,0,94,-23.68,69.8,2.24
88,Puerto Ayora,44,100,-0.74,75.26,6.06
89,Vardo,90,70,39.62,43.11,4.7
90,New Norfolk,20,40,-42.78,69.8,17.22
91,Qaanaaq,0,84,77.48,-5.84,9.75
92,Nanortalik,44,100,60.14,32.33,18.81
93,Barrow,0,91,-38.31,54.56,9.19
94,Barrow,0,91,-38.31,54.56,9.19
95,New Norfolk,20,40,-42.78,69.8,17.22
96,Saint-Philippe,1,75,45.36,31.95,5.82
97,Hilo,1,88,19.71,73.4,6.93
98,Progreso,75,82,-34.68,68.0,11.41
99,Bossangoa,8,80,6.5,75.35,10.76
100,Rikitea,20,100,-23.12,79.04,4.94
101,Margate,20,40,-43.03,69.8,17.22
102,Punta Arenas,0,80,-53.16,41.0,11.41
103,Georgetown,75,100,6.8,73.4,5.5
104,Kapaa,40,83,22.08,71.47,8.05
105,Lorengau,44,100,-2.02,82.37,9.86
106,Punta Arenas,0,80,-53.16,41.0,11.41
107,Jamestown,0,33,-33.21,75.44,6.96
108,Ossora,92,99,59.24,32.69,13.33
109,Taunggyi,24,83,20.78,74.18,3.04
110,Lagoa,40,100,37.14,57.2,8.05
111,Port Blair,0,100,11.67,84.35,7.96
112,Punta Arenas,0,80,-53.16,41.0,11.41
113,Kaoma,0,72,-14.8,68.15,13.22
114,Barrow,0,91,-38.31,54.56,9.19
115,Bambous Virieux,75,88,-20.34,80.6,8.05
116,Rikitea,20,100,-23.12,79.04,4.94
117,Albany,90,69,42.65,30.13,6.93
118,Mataura,92,73,-46.19,59.15,27.98
119,Sitka,0,29,37.17,64.82,20.49
120,Hobart,20,40,-42.88,69.8,17.22
121,Flin Flon,44,72,54.77,0.56,2.48
122,Kapaa,40,83,22.08,71.47,8.05
123,Murray Bridge,0,86,-35.12,66.35,6.4
124,Ushuaia,75,80,-54.81,41.0,16.11
125,Glomfjord,20,61,66.82,19.4,4.7
126,Santa Maria,76,97,-29.69,64.28,2.59
127,Barrow,0,91,-38.31,54.56,9.19
128,Klaksvik,48,68,62.23,26.6,19.46
129,Cayenne,20,88,4.94,77.0,3.36
130,Butaritari,80,100,3.07,82.82,10.2
131,Monrovia,75,100,6.33,77.0,5.28
132,Kouroussa,92,69,10.65,74.09,3.38
133,Ninh Binh,88,71,20.25,80.3,12.77
134,Airai,8,64,-8.93,82.73,1.25
135,Clyde River,90,84,70.47,8.6,4.7
136,Shelburne,90,80,44.08,33.28,2.93
137,Tuktoyaktuk,76,78,69.44,-3.03,9.17
138,Mar del Plata,64,57,-46.43,65.54,17.25
139,Saldanha,92,100,41.42,46.01,13.67
140,Vaini,0,39,15.34,91.64,3.27
141,Port Alfred,80,95,-33.59,70.85,10.87
142,Koulikoro,0,53,12.86,77.0,2.24
143,Vanavara,56,55,60.35,23.6,4.16
144,Mataura,92,73,-46.19,59.15,27.98
145,Hithadhoo,48,100,-0.6,84.35,3.83
146,Quchan,0,51,37.11,62.84,2.48
147,Orange Park,40,78,30.17,67.48,9.17
148,Bambous Virieux,75,88,-20.34,80.6,8.05
